Symbol,Last Traded Date,1Y Start Traded Date,1Y Last Traded Date,1Y Start Price,1Y End Price,1Y Momentum,1Y PnL,3M End Price,3M Last Traded Date,3M Momentum,3M PnL,3M Start Price,3M Start Traded Date
CNHI,2024-06-01,2023-10-02,2024-03-01,12.02,11.94,decrease,-0.6655574043261238%,,,,,,
ADS,2024-06-01,2023-06-01,2024-06-01,28.47,41.99,increase,47.488584474885855%,41.99,2024-06-01,increase,9.462982273201257%,38.36,2024-03-01
TPH,2024-06-01,2023-10-02,2023-12-01,27.14,29.22,increase,7.663964627855557%,,,,,,
CLNC,2024-06-01,2023-06-01,2024-06-01,5.92,6.14,increase,3.7162162162162122%,6.14,2024-06-01,decrease,-6.259541984732826%,6.55,2024-04-01
MHO,2024-06-01,2023-06-01,2023-07-01,70.6,87.07,increase,23.328611898016998%,,,,,,
CCS,2024-06-01,2023-06-01,2023-12-01,63.6,72.18,increase,13.490566037735858%,,,,,,
TPC,2024-06-01,2023-08-01,2024-06-01,8.45,22.44,increase,165.56213017751483%,22.44,2024-06-01,increase,96.32545931758533%,11.43,2024-03-01
VHI,2024-06-01,2023-06-01,2024-06-01,12.5,19.5,increase,56.0%,19.5,2024-06-01,increase,44.337527757216876%,13.51,2024-03-01
CYD,2024-06-01,2023-07-01,2024-01-02,10.5,8.2,decrease,-21.90476190476191%,,,,,,
UNFI,2024-06-01,2024-02-01,2024-06-01,14.98,12.07,decrease,-19.425901201602137%,12.07,2024-06-01,decrease,-22.776711452335256%,15.63,2024-03-01
BZH,2024-06-01,2023-06-01,2024-06-01,20.33,29.12,increase,43.23659616330548%,29.12,2024-06-01,increase,3.8886906885479835%,28.03,2024-05-01
CYH,2024-06-01,2023-07-01,2024-06-01,4.4,3.99,decrease,-9.31818181818182%,3.99,2024-06-01,increase,40.00000000000001%,2.85,2024-03-01
PRAA,2024-06-01,2023-06-01,2024-06-01,18.7,21.93,increase,17.272727272727277%,21.93,2024-06-01,decrease,-14.168297455968693%,25.55,2024-03-01
IHRT,2024-06-01,2024-02-01,2024-04-01,2.76,2.08,decrease,-24.637681159420282%,,,,,,
ENVA,2024-06-01,2023-06-01,2024-06-01,46.67,61.94,increase,32.71909149346474%,61.94,2024-06-01,decrease,-1.9936708860759573%,63.2,2024-03-01
JEF,2024-06-01,2023-06-01,2024-06-01,30.27,46.8,increase,54.608523290386515%,46.8,2024-06-01,increase,7.908692644685266%,43.37,2024-04-01
AVT,2024-06-01,2023-07-01,2024-04-01,50.34,48.98,decrease,-2.7016289233214272%,,,,,,
KBH,2024-06-01,2023-06-01,2023-12-01,43.24,52.16,increase,20.629047178538375%,,,,,,
MDC,2024-06-01,2023-06-01,2023-12-01,40.3,44.37,increase,10.099255583126551%,,,,,,
TWO,2024-06-01,2023-06-01,2024-06-01,12.5,12.92,increase,3.3599999999999994%,12.92,2024-06-01,increase,1.812450748620965%,12.69,2024-05-01
HE,2024-06-01,2023-06-01,2024-06-01,36.08,10.99,decrease,-69.53991130820398%,10.99,2024-06-01,decrease,-10.285714285714283%,12.25,2024-03-01
GIII,2024-06-01,2023-06-01,2023-07-01,16.08,19.4,increase,20.64676616915423%,,,,,,
BBU,2024-06-01,2023-06-01,2023-12-01,18.4,16.77,decrease,-8.858695652173907%,,,,,,
PFSI,2024-06-01,2023-06-01,2023-12-01,60.99,77.67,increase,27.34874569601574%,,,,,,
OPY,2024-06-01,2023-07-01,2024-06-01,40.4,45.93,increase,13.688118811881191%,45.93,2024-06-01,increase,20.204135043182408%,38.21,2024-03-01
HOV,2024-06-01,2023-09-01,2024-02-01,118.35,171.08,increase,44.55428812843263%,,,,,,
LSEA,2024-06-01,2023-08-01,2024-06-01,10.09,9.96,decrease,-1.2884043607532112%,9.96,2024-06-01,decrease,-28.806290207290917%,13.99,2024-03-01
FBRT,2024-06-01,2023-07-01,2024-06-01,14.05,12.87,decrease,-8.398576512455525%,12.87,2024-06-01,increase,2.2239872915011865%,12.59,2024-05-01
CRMT,2024-06-01,2023-06-01,2024-06-01,81.19,61.11,decrease,-24.73210986574701%,61.11,2024-06-01,decrease,-8.777429467084634%,66.99,2024-03-01
VIRT,2024-06-01,2024-02-01,2024-03-01,16.79,18.0,increase,7.206670637284103%,,,,,,
OPEN,2024-06-01,2023-06-01,2024-06-01,2.52,2.21,decrease,-12.301587301587304%,2.21,2024-06-01,decrease,-27.777777777777782%,3.06,2024-03-01
COMM,2024-06-01,2023-06-01,2024-03-01,4.15,1.2,decrease,-71.08433734939759%,,,,,,
MERC,2024-06-01,2023-07-01,2023-08-01,8.05,8.85,increase,9.937888198757749%,,,,,,
QRTEA,2024-06-01,2023-07-01,2024-05-01,1.0,0.868,decrease,-13.200000000000001%,0.868,2024-05-01,decrease,-37.99999999999999%,1.4,2024-03-01
NUVB,2024-06-01,2023-07-01,2023-09-01,1.78,1.66,decrease,-6.741573033707871%,,,,,,
QURE,2024-06-01,2023-09-01,2023-10-02,8.8,6.72,decrease,-23.636363636363644%,,,,,,
SATS,2024-06-01,2023-11-01,2024-01-02,13.88,15.53,increase,11.887608069164255%,,,,,,
VIR,2024-06-01,2023-11-01,2023-12-01,7.94,9.41,increase,18.51385390428211%,,,,,,
SKIN,2024-06-01,2024-01-02,2024-06-01,3.05,2.24,decrease,-26.557377049180314%,2.24,2024-06-01,decrease,-37.77777777777778%,3.6,2024-03-01
ITOS,2024-06-01,2024-01-02,2024-02-01,11.55,10.01,decrease,-13.33333333333334%,,,,,,
BETR,2024-06-01,2024-03-01,2024-05-01,0.5404,0.3929,decrease,-27.294596595114722%,0.3929,2024-05-01,decrease,-27.294596595114722%,0.5404,2024-03-01
SENEB,2024-06-01,2024-04-01,2024-06-01,57.4,59.57,increase,3.7804878048780517%,59.57,2024-06-01,increase,3.7804878048780517%,57.4,2024-04-01
SLRN,2024-06-01,2024-05-01,2024-06-01,4.19,4.17,decrease,-0.477326968973758%,4.17,2024-06-01,decrease,-0.477326968973758%,4.19,2024-05-01
